Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
59	4.0	4.0	8.0	0.0	16.75	29.01185	67.0	0.0	2.1	2.6999998	9.0	0.0	4.9	9.04931	29.0	0.0	1000.0	1000.0	235999	-3.0423706	5.503845	21.096428	-61.91183	-3.0478463	5.5196147	20.721117	-58.01623	-0.29358542	1.3572292	8.84982	-9.681243	3.174568	0.82855344	5540.02565741539
60	3.5	2.8722813	8.0	0.0	8.0	10.677078	26.0	0.0	2.2	1.9390719	6.0	0.0	19.7	46.09566	152.0	0.0	1000.0	1000.0	239999	-3.2534425	5.4694304	19.901249	-52.63254	-3.2594032	5.486381	19.10265	-53.629807	-0.29827207	1.3576831	9.260229	-10.018166	3.3897421	0.8313699	5634.216870307922
61	2.5	1.8027756	5.0	0.0	0.0	0.0	0.0	0.0	1.4	1.2806249	4.0	0.0	11.8	28.822906	96.0	0.0	1000.0	922.8	243999	-3.449287	5.478947	18.580227	-54.1201	-3.455382	5.4956603	18.768194	-55.478325	-0.32020968	1.3395187	8.884592	-9.15402	3.5863295	0.8429187	5727.70266699791
62	7.0	1.0	8.0	6.0	1.5	1.5	3.0	0.0	1.8	3.2186952	11.0	0.0	7.1	16.902367	56.0	0.0	1000.0	1000.0	247999	-3.5861888	5.5085974	18.687508	-53.91339	-3.59201	5.5259056	18.911959	-54.970352	-0.28776103	1.3535402	11.016019	-9.27656	3.721806	0.8527915	5821.763263225555
63	4.25	2.772634	9.0	2.0	0.0	0.0	0.0	0.0	0.9	1.3747727	3.0	0.0	6.3	12.458331	40.0	0.0	1000.0	1000.0	251999	-3.6354678	5.487701	18.49066	-56.78427	-3.6421988	5.508901	18.51698	-60.02294	-0.28713986	1.3564246	11.444966	-8.768473	3.7732704	0.86432034	5916.517327547073
64	3.0	2.738613	7.0	0.0	7.0	12.124355	28.0	0.0	2.6	3.8522716	13.0	0.0	73.5	196.37682	661.0	0.0	1000.0	1000.0	255999	-3.7830594	5.528209	19.641075	-57.71917	-3.7909026	5.554812	18.529682	-60.851788	-0.30373517	1.3472387	8.561338	-9.421185	3.9224439	0.8672857	6011.975217580795
65	6.75	3.269174	12.0	4.0	9.5	9.604687	21.0	0.0	2.6	2.4576411	8.0	0.0	9.0	12.473973	38.0	0.0	1000.0	1000.0	259999	-3.904045	5.556855	18.850191	-60.167206	-3.9134562	5.590017	18.909485	-58.610775	-0.30908504	1.3378136	9.332354	-9.366897	4.0484095	0.8995725	6106.445514678955
66	3.25	1.6393596	6.0	2.0	20.5	26.167728	64.0	0.0	1.5	1.2041595	3.0	0.0	2.0	6.0	20.0	0.0	1000.0	1000.0	263999	-4.03746	5.603515	18.96607	-58.220726	-4.047334	5.638925	18.366337	-59.376907	-0.31839392	1.3356413	13.843222	-10.395037	4.184468	0.91074514	6200.641436338425
67	4.25	2.1650636	7.0	1.0	15.5	16.070158	37.0	0.0	3.0	2.32379	8.0	0.0	16.9	42.200592	141.0	0.0	960.25	1000.0	267999	-4.1414423	5.5945635	17.157454	-59.57842	-4.149837	5.6239285	16.903334	-56.217476	-0.3261831	1.3324065	7.9866633	-11.182638	4.284981	0.8976205	6294.824811697006
68	3.0	2.345208	7.0	1.0	10.5	12.278029	30.0	0.0	1.4	1.3564659	4.0	0.0	118.7	245.65508	810.0	0.0	1000.0	1000.0	271999	-4.1897473	5.5532694	16.365082	-61.97012	-4.197419	5.5800242	16.487906	-57.688705	-0.31361192	1.3384094	8.769911	-9.207125	4.3344574	0.895802	6389.01580786705
69	6.0	3.082207	10.0	3.0	51.25	63.69998	156.0	0.0	1.9	2.9478807	10.0	0.0	61.0	183.0	610.0	0.0	1000.0	1000.0	275999	-4.2493587	5.540327	17.259897	-61.59283	-4.257171	5.5698137	16.289036	-57.586166	-0.30399165	1.3437274	9.202407	-9.28446	4.3914046	0.8963047	6483.189073085785
70	3.5	1.8027756	6.0	1.0	66.0	98.28784	235.0	0.0	3.2	4.5343137	14.0	0.0	1.4	4.2000003	14.0	0.0	1000.0	1000.0	279999	-4.283619	5.5307894	17.856262	-60.799988	-4.290195	5.5544233	18.777159	-60.827454	-0.3050348	1.345655	9.189341	-12.073763	4.42716	0.9150562	6578.04008102417
71	4.5	4.031129	9.0	0.0	0.0	0.0	0.0	0.0	2.2	2.6381812	8.0	0.0	102.2	278.78192	937.0	0.0	1000.0	949.1	283999	-4.3708982	5.6608963	20.221369	-63.126144	-4.3775096	5.684584	21.125778	-63.545067	-0.28813535	1.3514961	8.959599	-12.237375	4.518325	0.95014197	6671.9349002838135
72	4.0	2.5495098	7.0	0.0	8.5	14.722432	34.0	0.0	2.2	1.8867962	5.0	0.0	45.7	124.04681	417.0	0.0	1000.0	959.6	287999	-4.475609	5.6810656	21.572382	-61.791176	-4.4822884	5.7053695	21.9595	-58.29779	-0.2932639	1.3456255	8.977994	-10.246785	4.62342	0.94736147	6765.820323944092
73	2.5	1.118034	4.0	1.0	44.75	40.874043	97.0	0.0	1.9	2.8792362	10.0	0.0	92.5	249.06555	837.0	0.0	1000.0	1000.0	291999	-4.6077957	5.7049637	22.893206	-61.308487	-4.6151476	5.732822	22.532396	-60.2895	-0.30688107	1.3390934	8.269963	-9.771315	4.7583623	0.94649696	6860.21416759491
74	4.0	1.8708287	7.0	2.0	0.0	0.0	0.0	0.0	2.2	2.4413111	7.0	0.0	57.8	157.1374	527.0	0.0	1000.0	924.4	295999	-4.7263775	5.697695	22.263357	-58.863876	-4.7337003	5.725373	22.299568	-58.07412	-0.31006464	1.345355	8.965732	-9.475064	4.8768797	0.9674478	6953.808497905731
