Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
45	14.75	1.47902	17.0	13.0	101.25	50.7857	180.0	43.0	13.8	2.0396078	16.0	10.0	69.7	35.838665	125.0	11.0	1000.0	1000.0	179999	12.933328	5.148501	35.0213	-10.320019	12.9334135	5.1485786	34.67363	-10.524254	-12.991045	0.45552483	2602.3117909431458
46	15.25	1.7853571	17.0	13.0	118.75	85.46454	255.0	38.0	13.9	1.5132747	17.0	12.0	86.7	42.1546	136.0	5.0	1000.0	1000.0	183999	12.901982	5.138665	35.7013	-11.064903	12.901964	5.138418	35.762943	-10.897102	-12.940428	0.4624469	2660.18243598938
47	15.5	2.291288	18.0	12.0	3.25	5.629165	13.0	0.0	15.2	1.6613247	18.0	13.0	40.1	25.828085	92.0	0.0	1000.0	1000.0	187999	12.878245	5.0993423	34.94233	-10.62989	12.878266	5.099286	33.38079	-10.377534	-12.942526	0.47810358	2718.090487718582
48	15.5	2.8722813	20.0	13.0	82.75	59.68825	159.0	0.0	14.6	1.4966631	17.0	12.0	67.0	40.620193	133.0	10.0	1000.0	1000.0	191999	12.845685	5.0630336	35.65588	-10.622578	12.845863	5.062555	33.05723	-11.325291	-12.891076	0.49283057	2776.1434829235077
49	15.0	0.70710677	16.0	14.0	83.75	34.032154	116.0	27.0	14.0	1.0	16.0	13.0	56.6	33.17891	102.0	5.0	1000.0	1000.0	195999	12.806859	5.040683	35.148487	-10.281489	12.8069725	5.0402617	34.488785	-11.010394	-12.865239	0.48712233	2836.3628730773926
50	15.0	1.0	16.0	14.0	72.0	67.00746	164.0	6.0	14.3	2.3685439	16.0	8.0	81.0	48.515976	177.0	23.0	1000.0	1000.0	199999	12.7562	5.006382	34.11505	-11.489011	12.756351	5.005866	33.939827	-11.335131	-12.814988	0.47774553	2894.209416627884
51	15.75	2.046338	19.0	14.0	74.5	21.66218	104.0	43.0	14.0	2.0976176	18.0	12.0	60.6	42.8	149.0	0.0	1000.0	1000.0	203999	12.739352	4.9994946	34.282295	-9.520194	12.739368	4.998969	34.83775	-9.886906	-12.805756	0.48612323	2951.9440534114838
52	14.25	0.8291562	15.0	13.0	46.25	21.775846	79.0	22.0	14.5	3.7215588	19.0	5.0	141.0	199.44824	733.0	41.0	1000.0	1000.0	207999	12.736955	4.9647493	36.80267	-9.717554	12.736965	4.964044	35.777016	-9.335202	-12.805071	0.46992207	3009.792997121811
53	15.0	1.5811388	17.0	13.0	25.5	17.168285	44.0	0.0	15.9	1.5779734	18.0	13.0	67.6	44.531338	140.0	0.0	1000.0	1000.0	211999	12.706158	4.977956	35.06036	-8.907739	12.706306	4.9771404	33.98648	-8.98496	-12.768871	0.47311187	3067.5401747226715
54	18.5	1.6583124	20.0	16.0	27.25	27.43515	59.0	0.0	14.4	1.7435596	18.0	12.0	52.5	42.457626	151.0	0.0	1000.0	1000.0	215999	12.720673	4.983472	34.60083	-9.093146	12.720694	4.9831066	32.804134	-9.185512	-12.769595	0.47630763	3125.5647325515747
