Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
49	7.5	1.118034	9.0	6.0	81.0	30.12474	132.0	55.0	7.7	2.9681644	13.0	3.0	170.8	182.02736	554.0	7.0	1000.0	1000.0	195999	20.014793	5.5048456	38.86507	-3.7198827	-20.074024	0.40066132	2406.853797674179
50	10.25	1.0897248	12.0	9.0	28.75	16.738802	45.0	5.0	8.3	3.4073448	12.0	0.0	113.0	135.22647	412.0	0.0	1000.0	1000.0	199999	20.047405	5.452382	40.009785	-2.098703	-20.107832	0.39988178	2457.2320914268494
51	4.25	3.344772	8.0	0.0	260.75	157.49821	495.0	96.0	6.3	4.2201896	12.0	0.0	215.1	174.27246	448.0	5.0	1000.0	1000.0	203999	20.124664	5.397658	38.2007	-9.215412	-20.19159	0.38399914	2504.751472234726
52	11.0	1.4142135	13.0	9.0	65.0	71.34073	185.0	2.0	7.1	4.0112343	14.0	0.0	237.3	241.61086	665.0	4.0	1000.0	1000.0	207999	20.260744	5.337216	38.70772	-6.9653735	-20.327528	0.36986047	2554.1216185092926
53	9.0	4.7434163	13.0	1.0	105.25	135.12656	339.0	17.0	10.9	2.385372	14.0	7.0	24.2	13.013839	51.0	0.0	1000.0	1000.0	211999	20.340698	5.3740172	40.5944	-8.113916	-20.400417	0.382762	2603.518321752548
54	4.75	2.2776084	7.0	1.0	233.25	67.14676	337.0	170.0	10.7	1.9	14.0	8.0	41.4	34.33715	114.0	5.0	1000.0	1000.0	215999	20.259483	5.408751	42.63476	-9.870198	-20.313631	0.3879573	2652.3645601272583
55	7.25	4.7631397	12.0	2.0	106.0	91.65424	211.0	1.0	9.0	5.0199604	14.0	0.0	199.1	304.85193	807.0	2.0	1000.0	1000.0	219999	20.035725	5.4553576	43.468452	-5.1809006	-20.087196	0.39485547	2701.5523853302
56	8.5	4.031129	13.0	2.0	129.0	158.50394	399.0	0.0	8.0	4.690416	13.0	0.0	193.4	243.65762	711.0	2.0	1000.0	1000.0	223999	19.95812	5.555033	41.732834	-8.723009	-20.008196	0.39909723	2750.765781879425
57	8.0	4.582576	13.0	1.0	127.25	138.00612	353.0	12.0	7.8	4.142463	12.0	0.0	215.4	210.57741	574.0	6.0	1000.0	1000.0	227999	19.78151	5.672777	39.97046	-11.577536	-19.83614	0.393646	2799.894017934799
58	9.25	2.58602	13.0	6.0	95.75	92.68866	248.0	0.0	9.6	4.2	14.0	0.0	92.9	132.50845	458.0	4.0	1000.0	1000.0	231999	19.897478	5.7879386	43.14426	-6.721368	-19.958242	0.4098545	2849.139332294464
59	7.5	3.640055	13.0	3.0	126.0	90.79097	245.0	21.0	8.8	4.0447497	15.0	1.0	143.0	206.41222	689.0	2.0	1000.0	1000.0	235999	19.888382	5.9282618	42.465317	-6.1777897	-19.945492	0.41826	2898.3395948410034
60	5.0	3.082207	8.0	0.0	267.0	96.096306	389.0	121.0	6.6	3.4117446	13.0	2.0	153.5	116.98739	358.0	15.0	1000.0	1000.0	239999	19.959656	6.004591	39.270386	-5.70767	-20.02037	0.43436167	2948.1370000839233
61	7.0	4.1833	11.0	0.0	172.5	180.20058	481.0	25.0	7.7	2.1931713	10.0	3.0	111.0	70.64984	255.0	29.0	1000.0	1000.0	243999	20.006563	6.0191574	41.505306	-4.295867	-20.06683	0.4367316	2996.8421823978424
62	11.25	2.58602	14.0	7.0	66.0	72.3982	191.0	15.0	9.0	3.660601	14.0	1.0	70.3	73.58948	267.0	0.0	1000.0	1000.0	247999	20.075363	5.9904933	46.30237	-6.917092	-20.132645	0.4489084	3045.651328086853
63	9.5	4.387482	13.0	2.0	78.0	89.358826	231.0	15.0	8.9	4.1581244	15.0	2.0	128.8	152.63342	466.0	5.0	1000.0	1000.0	251999	20.10474	5.9566765	45.258766	-8.180056	-20.163946	0.4517987	3095.196410179138
64	7.5	5.315073	15.0	0.0	214.5	210.92474	561.0	6.0	7.0	5.347897	13.0	0.0	195.6	205.00304	620.0	1.0	1000.0	1000.0	255999	20.126123	6.002413	45.501034	-15.340022	-20.183243	0.43917492	3144.300755739212
65	7.75	4.43706	13.0	1.0	86.0	92.47432	237.0	9.0	5.5	5.10392	14.0	0.0	297.5	297.20575	906.0	4.0	1000.0	1000.0	259999	20.111444	6.0767884	43.111855	-17.495209	-20.166752	0.4403757	3194.4611620903015
66	7.5	3.354102	11.0	2.0	85.25	71.57295	206.0	20.0	7.7	4.648656	14.0	0.0	144.9	157.35466	397.0	9.0	1000.0	1000.0	263999	20.047838	6.122332	46.59514	-20.747528	-20.098036	0.44528174	3244.71466088295
67	8.0	2.345208	10.0	4.0	83.5	57.725643	182.0	37.0	10.4	3.0066593	14.0	3.0	89.8	206.75145	709.0	4.0	1000.0	1000.0	267999	19.96107	6.1522164	43.000713	-28.649555	-20.00976	0.43929812	3294.1577298641205
68	7.75	5.2141633	13.0	0.0	138.5	141.16745	381.0	33.0	7.0	4.2190046	13.0	0.0	220.3	276.659	922.0	0.0	1000.0	1000.0	271999	19.888422	6.1538196	38.70616	-31.979631	-19.938375	0.4347993	3342.830624103546
69	8.5	5.3619027	14.0	0.0	133.25	177.21649	436.0	7.0	7.9	4.988988	13.0	0.0	183.7	243.96886	618.0	3.0	1000.0	1000.0	275999	19.884972	6.0130587	39.768055	-23.145247	-19.934946	0.4335984	3390.5747611522675
70	8.25	4.0233693	14.0	4.0	108.75	92.469925	216.0	12.0	9.0	3.8987176	13.0	2.0	100.0	132.91652	344.0	6.0	1000.0	1000.0	279999	19.798122	5.9714355	41.537487	-13.523457	-19.845343	0.4342865	3439.8127920627594
71	10.25	3.7666297	14.0	4.0	89.5	134.30283	322.0	5.0	7.6	4.2000003	13.0	0.0	156.0	157.49794	440.0	2.0	1000.0	1000.0	283999	19.731625	5.9218817	39.27635	-7.77866	-19.780293	0.4236747	3489.5459220409393
72	9.5	3.5707142	13.0	5.0	89.0	89.624214	201.0	0.0	8.8	4.643275	14.0	1.0	127.1	223.17145	739.0	0.0	1000.0	922.0	287999	19.755913	5.935078	40.579536	-11.076736	-19.807236	0.42885414	3537.9783565998077
73	10.25	3.112475	13.0	5.0	64.25	84.28931	209.0	1.0	7.4	4.4542117	14.0	0.0	182.1	213.29672	710.0	6.0	1000.0	1000.0	291999	19.765003	6.050963	40.93675	-17.933792	-19.817644	0.422239	3587.797116994858
74	9.75	5.7608595	14.0	0.0	117.5	173.9921	418.0	0.0	8.5	3.0740852	13.0	3.0	84.1	96.561325	319.0	0.0	1000.0	922.4	295999	19.873873	6.080995	42.256523	-16.09015	-19.923359	0.41628146	3635.8706724643707
75	7.5	5.408327	14.0	0.0	246.25	230.13733	512.0	0.0	6.2	4.1904655	14.0	0.0	174.4	177.74318	530.0	6.0	1000.0	935.2	299999	19.90151	6.079245	43.801273	-5.6568556	-19.953981	0.4271143	3685.115922689438
76	9.0	1.2247449	10.0	7.0	78.75	42.90906	147.0	37.0	7.4	3.5832944	13.0	0.0	212.5	227.37161	710.0	13.0	1000.0	1000.0	303999	19.96848	6.061507	44.19461	-3.7295012	-20.020563	0.4335255	3734.455823659897
77	9.75	3.49106	13.0	4.0	105.0	127.15935	325.0	23.0	6.9	4.3920383	14.0	1.0	127.6	116.95571	296.0	0.0	1000.0	925.6	307999	20.008177	6.078794	41.753033	-4.2998304	-20.061255	0.43632323	3783.0335359573364
78	12.25	1.299038	13.0	10.0	14.75	18.793283	47.0	0.0	9.0	5.7792735	17.0	1.0	104.6	153.38527	426.0	0.0	1000.0	876.1	311999	20.092821	6.101054	41.122345	-1.0350556	-20.149271	0.43192142	3830.961843252182
79	8.0	4.1231055	13.0	3.0	194.5	202.21956	502.0	8.0	8.5	4.8631268	13.0	0.0	159.7	255.14037	843.0	0.0	1000.0	925.6	315999	20.246433	6.0790553	39.446617	-1.4874196	-20.303242	0.44075498	3879.7958018779755
80	2.25	2.8613808	7.0	0.0	372.0	178.73164	583.0	89.0	8.2	5.1730065	15.0	0.0	147.1	169.6169	408.0	0.0	1000.0	1000.0	319999	20.379503	6.019457	41.308876	-2.147361	-20.43809	0.4314287	3928.946013689041
81	9.75	4.085034	14.0	3.0	148.5	221.02092	531.0	7.0	10.6	3.611094	13.0	1.0	69.0	131.54848	462.0	2.0	1000.0	1000.0	323999	20.438185	6.0538073	39.990005	-2.8129752	-20.494106	0.42733118	3978.750325679779
82	7.8	4.5343137	15.0	1.0	71.2	65.609146	174.0	0.0	10.4	2.2891047	13.0	7.0	41.2	46.105965	131.0	0.0	832.8	1000.0	327999	20.449865	6.0593863	41.330284	-6.26958	-20.503094	0.44107816	4029.200597047806
83	6.6	4.9638696	14.0	2.0	150.2	277.93552	706.0	4.0	8.5	4.944694	14.0	1.0	72.0	121.50885	389.0	0.0	766.8	934.4	331999	20.400038	6.0884933	50.14399	-4.838068	-20.446848	0.43411523	4078.264353275299
84	7.0	6.041523	13.0	0.0	245.0	255.71762	634.0	14.0	8.7	4.8795495	13.0	1.0	178.7	267.87274	777.0	2.0	1000.0	1000.0	335999	20.280289	6.1616178	39.54186	-6.2378206	-20.329416	0.44882146	4127.281419754028
85	11.75	2.2776084	14.0	8.0	35.5	45.521973	114.0	3.0	11.8	1.6613249	14.0	9.0	19.9	17.80702	50.0	0.0	1000.0	1000.0	339999	20.267672	6.188847	41.486668	-6.5985937	-20.319038	0.43921924	4176.558798074722
86	4.0	3.9370039	10.0	0.0	343.75	231.22974	680.0	50.0	8.4	3.611094	14.0	1.0	135.6	153.27374	377.0	12.0	1000.0	1000.0	343999	20.23486	6.147049	41.89563	-9.989808	-20.283356	0.4410426	4225.966221809387
87	11.5	4.5	15.0	4.0	70.0	92.17646	229.0	7.0	9.6	3.2619014	16.0	4.0	99.1	113.27264	361.0	2.0	1000.0	1000.0	347999	20.251863	6.1065354	41.043087	-9.094142	-20.304161	0.4382135	4275.548277139664
88	12.0	2.5495098	16.0	9.0	31.25	20.290083	53.0	10.0	10.3	3.6069376	15.0	3.0	98.8	123.19968	307.0	4.0	1000.0	1000.0	351999	20.304363	6.1430182	40.944073	-5.888581	-20.356647	0.44095242	4324.082426548004
89	4.25	2.8613808	8.0	1.0	210.0	143.36491	354.0	36.0	7.4	3.7202148	13.0	1.0	152.3	139.90143	442.0	3.0	1000.0	1000.0	355999	20.34615	6.1707096	40.648464	-6.3550167	-20.400036	0.44598728	4373.44358420372
90	8.0	3.4641016	10.0	2.0	111.5	144.21771	361.0	17.0	5.7	5.273519	14.0	0.0	280.3	248.77583	819.0	2.0	1000.0	1000.0	359999	20.336727	6.0646048	37.860573	-5.885456	-20.381454	0.43031973	4423.161039590836
91	9.0	2.5495098	12.0	5.0	70.0	73.46428	195.0	7.0	11.4	2.2449944	14.0	6.0	31.9	15.965274	61.0	14.0	1000.0	1000.0	363999	20.333628	6.019048	37.470665	-5.6531553	-20.385763	0.42733142	4472.182381391525
92	10.0	3.535534	13.0	4.0	51.0	61.400326	157.0	9.0	9.8	4.7916594	16.0	1.0	130.9	184.71082	504.0	0.0	1000.0	1000.0	367999	20.363115	6.0014467	40.129845	-5.4935884	-20.413551	0.4362024	4522.1675617694855
93	8.75	1.7853571	11.0	6.0	32.25	14.566657	53.0	12.0	9.1	4.867237	15.0	0.0	136.9	183.07619	541.0	0.0	921.0	1000.0	371999	20.370214	5.9827223	37.99139	-4.206236	-20.41892	0.44396308	4571.626379728317
94	5.25	2.2776084	9.0	3.0	258.25	136.02643	445.0	62.0	9.4	5.295281	15.0	0.0	162.5	252.95108	829.0	0.0	1000.0	1000.0	375999	20.346403	5.9763985	38.009514	-3.3229935	-20.395275	0.44001955	4620.212624788284
95	7.75	3.344772	10.0	2.0	160.0	109.59699	273.0	45.0	8.9	4.1097445	14.0	1.0	90.3	108.426056	308.0	2.0	1000.0	1000.0	379999	20.340696	5.9799094	36.890923	-3.2537572	-20.39125	0.44778612	4670.165249347687
96	6.25	4.43706	13.0	1.0	177.75	151.01552	341.0	25.0	11.7	1.951922	14.0	9.0	24.9	21.974758	71.0	3.0	1000.0	1000.0	383999	20.30661	6.0278416	37.859985	-9.391648	-20.355806	0.44943908	4719.003000020981
97	4.0	2.1213202	7.0	1.0	333.25	183.55159	572.0	63.0	9.6	3.8262255	15.0	2.0	94.4	110.47099	355.0	0.0	1000.0	1000.0	387999	20.27855	6.1052437	39.278946	-11.263746	-20.324883	0.46213916	4768.268277645111
98	7.5	3.7749171	10.0	1.0	188.75	275.18756	665.0	16.0	5.9	3.4190643	12.0	0.0	243.6	181.94571	568.0	10.0	1000.0	1000.0	391999	20.159586	6.12788	38.691463	-8.250334	-20.205116	0.47222674	4817.477992296219
99	9.0	2.236068	12.0	6.0	93.5	73.77161	199.0	19.0	9.8	3.867816	14.0	0.0	95.2	183.32254	632.0	4.0	1000.0	1000.0	395999	20.217815	6.1877327	39.38867	-10.070471	-20.267948	0.48267278	4867.420636415482
100	10.0	1.7320508	11.0	7.0	71.0	61.10237	176.0	24.0	9.9	3.4770677	15.0	2.0	104.7	167.03775	585.0	0.0	1000.0	1000.0	399999	20.26571	6.261464	38.123405	-10.05024	-20.319765	0.49120086	4916.927429676056
101	10.75	4.656984	17.0	4.0	95.0	110.53732	280.0	3.0	7.8	5.0950956	15.0	0.0	162.8	170.6381	548.0	1.0	1000.0	1000.0	403999	20.38013	6.2641006	41.70697	-9.981214	-20.431555	0.49812764	4966.552397489548
102	7.5	5.17204	14.0	0.0	142.0	137.46454	354.0	2.0	8.9	4.205948	14.0	2.0	124.5	137.14244	417.0	8.0	1000.0	1000.0	407999	20.370808	6.2641907	42.18991	-11.218627	-20.421824	0.4947301	5015.751379489899
103	12.25	3.112475	17.0	9.0	20.0	13.472194	38.0	0.0	10.4	3.231099	16.0	4.0	91.7	146.10478	479.0	0.0	1000.0	1000.0	411999	20.37785	6.283967	43.16294	-11.349517	-20.425055	0.48575854	5065.35596036911
