Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
62	16.75	1.299038	18.0	15.0	19.5	12.658989	37.0	6.0	15.6	1.6248077	18.0	12.0	66.6	32.013123	142.0	26.0	1000.0	1000.0	247999	16.744047	3.8347337	33.843163	-4.4891763	16.744034	3.8352017	33.497566	-4.791313	0.27400917	1.2580212	7.3202	-11.02634	-16.612581	0.28173608	5883.060452461243
63	14.5	2.291288	17.0	11.0	116.5	80.775925	234.0	16.0	15.5	2.2472205	19.0	12.0	58.6	34.986282	124.0	0.0	1000.0	1000.0	251999	16.808342	3.8075895	34.82687	-1.6487963	16.808378	3.8076923	34.98023	-1.047132	0.26673663	1.252304	7.4251623	-10.657979	-16.677261	0.27294576	5978.941476583481
64	15.25	2.384848	18.0	12.0	77.25	29.911327	108.0	30.0	15.4	2.9732137	20.0	11.0	77.0	72.80797	201.0	0.0	1000.0	1000.0	255999	16.862673	3.8025844	34.93228	-1.655436	16.862688	3.8030143	35.58311	-5.2299047	0.26054808	1.2431694	9.285103	-10.19761	-16.729969	0.27687567	6074.225495815277
65	15.25	1.47902	17.0	13.0	67.25	39.568768	114.0	6.0	15.0	1.6124516	18.0	13.0	78.9	40.309925	156.0	30.0	1000.0	1000.0	259999	16.91548	3.7996848	33.73696	-1.6884966	16.915634	3.7997167	33.217487	-1.933866	0.2506706	1.2361882	6.9310026	-10.391812	-16.78256	0.28177866	6169.685166835785
66	16.0	1.5811388	18.0	14.0	68.25	39.74528	107.0	17.0	15.7	2.1470912	19.0	12.0	64.7	34.208332	114.0	0.0	1000.0	1000.0	263999	16.97799	3.802035	34.252968	-2.3493829	16.978052	3.8024766	34.906776	-2.5369968	0.25648704	1.2311519	4.912878	-10.0593815	-16.846903	0.27138636	6264.943084478378
67	16.5	2.1794496	19.0	13.0	54.25	44.96318	125.0	3.0	15.9	1.7578397	18.0	13.0	60.2	25.114937	100.0	6.0	1000.0	1000.0	267999	17.047882	3.786182	33.376965	-3.9777126	17.047817	3.7865155	33.877132	-4.246826	0.24271017	1.2210232	8.204059	-10.716482	-16.91483	0.28476802	6361.304185628891
68	15.75	1.9202864	19.0	14.0	56.0	34.756294	92.0	0.0	15.4	1.8547237	20.0	13.0	84.9	48.455032	203.0	27.0	1000.0	1000.0	271999	17.103813	3.778954	33.42243	-4.021677	17.10383	3.7794893	33.16655	-1.9867387	0.24273872	1.2217636	8.073755	-12.252993	-16.970957	0.27671084	6456.758628129959
69	16.75	2.1650636	20.0	14.0	38.75	39.11122	85.0	0.0	15.8	2.8213472	20.0	11.0	87.1	69.21336	214.0	7.0	1000.0	1000.0	275999	17.14208	3.7555544	34.06389	-1.1994259	17.142141	3.7557003	33.945274	-1.252377	0.23184991	1.2148362	7.1560225	-11.732981	-17.01066	0.2711177	6552.702556848526
70	15.25	1.0897248	17.0	14.0	97.0	40.205723	162.0	53.0	15.0	2.408319	19.0	10.0	52.4	28.95583	84.0	0.0	1000.0	1000.0	279999	17.189665	3.7421029	33.887817	-3.372094	17.189693	3.7427409	33.376038	-1.1969588	0.23625313	1.2119955	6.340649	-10.759799	-17.057457	0.274292	6649.235298871994
71	16.25	1.7853571	18.0	14.0	60.5	66.12677	172.0	0.0	16.1	1.2206556	18.0	14.0	62.6	37.267143	135.0	0.0	1000.0	1000.0	283999	17.254751	3.7298653	33.49585	-2.4131644	17.254822	3.7301009	34.095085	-2.3786302	0.2243517	1.2046585	9.787491	-9.15793	-17.124672	0.26955533	6745.46680521965
72	15.5	2.1794496	18.0	12.0	84.25	103.41512	257.0	0.0	16.7	1.1874342	19.0	15.0	46.4	33.260185	115.0	0.0	1000.0	1000.0	287999	17.312511	3.7207434	33.813526	-0.80250645	17.312529	3.7211053	33.30604	-0.18326783	0.23573521	1.2077867	7.0615892	-10.640783	-17.181828	0.26956892	6840.925688505173
73	17.0	1.8708287	19.0	14.0	45.25	31.147833	95.0	11.0	17.2	2.3151672	21.0	14.0	69.8	35.793293	154.0	28.0	1000.0	1000.0	291999	17.380774	3.7198763	34.099407	-3.3548675	17.380745	3.7205153	32.394413	-3.1848652	0.22241071	1.1973816	5.594777	-10.2086315	-17.249207	0.27363646	6937.215195655823
74	18.25	1.9202864	20.0	15.0	45.25	45.02985	120.0	0.0	15.9	2.9816103	22.0	12.0	73.1	51.16532	143.0	0.0	1000.0	1000.0	295999	17.415377	3.7056139	33.527733	-3.804014	17.415367	3.7060134	32.428795	-1.3429873	0.22108284	1.2035799	5.8871865	-9.512087	-17.283875	0.27259576	7032.976393938065
