Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
64	0.5	0.5	1.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	957.7	255999	57.101974	18.717564	268.18274	-17.991676	-57.6589	3.7484276	3268.8250229358673
65	0.75	0.8291562	2.0	0.0	39.0	53.600372	130.0	0.0	0.7	1.4866068	5.0	0.0	22.5	41.84794	141.0	0.0	851.75	1000.0	259999	56.118744	20.63797	259.95148	-21.550316	-56.67261	3.837607	3320.780239343643
66	1.0	1.0	2.0	0.0	156.25	270.63293	625.0	0.0	0.7	0.45825756	1.0	0.0	9.2	18.318296	61.0	0.0	1000.0	978.5	263999	53.728756	20.918762	234.85736	-22.69967	-54.18466	3.7409165	3372.395216703415
67	3.0	2.5495098	6.0	0.0	0.0	0.0	0.0	0.0	1.2	1.6	5.0	0.0	50.4	140.23352	470.0	0.0	1000.0	1000.0	267999	51.75726	20.18548	218.94699	-25.447475	-52.243633	3.6037316	3424.2417635917664
68	1.25	0.8291562	2.0	0.0	0.0	0.0	0.0	0.0	1.3	2.238303	7.0	0.0	74.1	171.38928	579.0	0.0	1000.0	1000.0	271999	50.65818	20.13585	217.67873	-22.821938	-51.212196	3.4463232	3476.52650141716
69	2.0	0.70710677	3.0	1.0	79.5	137.69804	318.0	0.0	0.3	0.64031243	2.0	0.0	4.9	14.7	49.0	0.0	1000.0	1000.0	275999	51.027115	21.077747	188.73413	-12.426443	-51.576653	3.4401116	3528.633464574814
70	2.25	3.344772	8.0	0.0	0.0	0.0	0.0	0.0	1.5	1.6881943	6.0	0.0	73.8	140.30025	430.0	0.0	1000.0	1000.0	279999	50.223736	20.543604	167.28671	-12.942067	-50.73867	3.512138	3580.7084844112396
71	1.25	1.0897248	3.0	0.0	23.25	31.712576	77.0	0.0	0.5	0.67082036	2.0	0.0	6.5	10.566457	29.0	0.0	1000.0	1000.0	283999	49.67258	21.225765	169.66597	-12.695656	-50.167484	3.7407157	3633.1617403030396
72	2.5	2.0615528	5.0	0.0	9.25	16.02147	37.0	0.0	0.7	1.1874342	4.0	0.0	38.0	67.65057	174.0	0.0	1000.0	868.1	287999	48.75532	20.702759	166.52773	-13.421622	-49.245102	3.6784976	3683.760097503662
73	0.33333334	0.4714045	1.0	0.0	0.0	0.0	0.0	0.0	0.6	1.0198039	3.0	0.0	32.9	64.895996	219.0	0.0	655.3333	934.2	291999	48.9757	19.885971	165.38821	-13.292107	-49.57257	3.7377362	3735.5524859428406
74	1.1666666	0.89752746	3.0	0.0	54.833332	107.676094	295.0	0.0	0.8	0.7483315	2.0	0.0	99.3	282.06454	945.0	0.0	754.0	1000.0	295999	50.41244	20.870104	190.30148	-28.458094	-51.026806	4.191564	3788.1077511310577
75	0.4	0.48989797	1.0	0.0	2.8	5.6	14.0	0.0	0.4	0.48989797	1.0	0.0	19.3	47.04689	159.0	0.0	828.0	923.0	299999	51.35333	21.442158	205.31891	-45.399513	-51.942905	4.588221	3839.1877117156982
76	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	0.6	1.019804	3.0	0.0	2.6	5.219195	14.0	0.0	1000.0	857.4	303999	52.164154	21.180077	202.99287	-50.654427	-52.78459	4.6733418	3889.2602863311768
77	0.5	0.5	1.0	0.0	62.25	107.82016	249.0	0.0	1.4	1.4282856	4.0	0.0	2.3	4.6054316	12.0	0.0	893.25	783.7	307999	52.387516	20.933483	166.42918	-44.516647	-52.950157	4.87124	3938.195636510849
78	0.8	0.74833155	2.0	0.0	7.2	11.232097	29.0	0.0	0.7	0.64031243	2.0	0.0	14.3	24.207644	80.0	0.0	731.4	861.3	311999	53.58345	22.144999	192.28189	-24.55445	-54.305084	5.008518	3988.9406583309174
79	1.1666666	1.0671874	3.0	0.0	18.833334	32.916138	90.0	0.0	0.2	0.4	1.0	0.0	2.1	6.2999997	21.0	0.0	766.8333	910.1	315999	57.002815	24.542086	201.10597	-21.630053	-57.777824	5.1440372	4039.8168456554413
80	0.5	0.5	1.0	0.0	25.25	43.734283	101.0	0.0	0.3	0.45825756	1.0	0.0	0.0	0.0	0.0	0.0	837.0	1000.0	319999	58.148655	24.421982	208.67142	-20.441883	-58.753258	5.1303535	4092.488187789917
81	0.25	0.4330127	1.0	0.0	54.75	94.82978	219.0	0.0	0.4	0.48989797	1.0	0.0	17.0	35.860844	122.0	0.0	1000.0	1000.0	323999	57.475117	24.172403	180.05902	-10.753777	-58.070538	4.76475	4145.146485328674
82	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	0.3	0.64031243	2.0	0.0	10.1	30.3	101.0	0.0	1000.0	1000.0	327999	56.27315	22.754915	149.63216	-23.321484	-56.774586	4.637634	4197.771134138107
83	0.5	0.5	1.0	0.0	36.75	55.332516	132.0	0.0	0.0	0.0	0.0	0.0	1.6	4.7999997	16.0	0.0	1000.0	1000.0	331999	53.20106	20.702936	162.43619	-29.52628	-53.595573	4.3452754	4249.931780576706
84	0.5	0.5	1.0	0.0	93.25	157.49821	366.0	0.0	0.2	0.4	1.0	0.0	7.7	14.859677	49.0	0.0	1000.0	1000.0	335999	49.41051	19.752743	181.74245	-26.278257	-49.73814	4.148325	4302.395961999893
85	0.0	0.0	0.0	0.0	123.5	213.90828	494.0	0.0	0.1	0.29999998	1.0	0.0	92.7	278.1	927.0	0.0	1000.0	1000.0	339999	45.13303	19.362474	250.53233	-21.587784	-45.412174	3.4901104	4354.167741537094
86	0.0	0.0	0.0	0.0	261.5	270.14578	685.0	11.0	0.8	0.8717798	3.0	0.0	93.8	162.17879	494.0	0.0	1000.0	1000.0	343999	41.484158	19.967688	298.78003	-42.97878	-41.836777	3.3014116	4405.585124969482
87	1.0	0.6324555	2.0	0.0	114.2	124.65376	326.0	0.0	1.3	1.9	5.0	0.0	175.8	337.20224	895.0	0.0	962.8	978.3	347999	40.909805	19.923828	295.73334	-42.470123	-41.32371	3.1912436	4457.38890004158
88	2.0	2.9154758	7.0	0.0	80.5	132.03125	309.0	0.0	1.0	1.183216	4.0	0.0	17.3	22.2623	59.0	0.0	1000.0	1000.0	351999	39.28161	19.049541	282.32535	-15.4881735	-39.675858	3.0756884	4509.752469062805
89	2.5	4.3301272	10.0	0.0	25.0	30.553232	77.0	0.0	2.9	3.5341196	11.0	0.0	28.6	43.724594	118.0	0.0	838.75	717.9	355999	39.25989	18.705511	223.22798	-19.653654	-39.68548	3.2660406	4558.105607509613
90	1.3333334	1.2472192	3.0	0.0	5.3333335	7.738791	19.0	0.0	2.6	1.8	6.0	0.0	47.9	60.34476	184.0	0.0	735.0	798.2	359999	37.885998	17.88873	219.84251	-20.598763	-38.22081	3.1143484	4608.085735797882
91	2.25	1.299038	4.0	1.0	71.25	74.85778	200.0	16.0	2.3	2.5317976	9.0	0.0	51.8	77.8072	253.0	0.0	1000.0	995.4	363999	35.78527	15.818525	220.58124	-20.214138	-36.047894	2.5595777	4660.0931050777435
92	1.25	1.299038	3.0	0.0	189.0	129.97115	367.0	8.0	3.2	2.2715633	8.0	1.0	152.2	272.63556	836.0	0.0	1000.0	1000.0	367999	32.775616	13.973109	179.27332	-24.298391	-33.01526	1.8494194	4712.011475086212
93	4.0	1.7320508	5.0	1.0	60.0	39.115215	124.0	18.0	1.9	1.2206554	4.0	0.0	45.9	109.71185	373.0	0.0	1000.0	1000.0	371999	29.654293	11.909146	117.62923	-36.170853	-29.834368	1.5387121	4764.502254962921
94	6.5	4.974937	14.0	2.0	58.75	66.96034	172.0	5.0	5.1	4.3	13.0	0.0	111.8	224.88078	772.0	0.0	1000.0	1000.0	375999	27.029198	11.124508	100.646515	-36.56035	-27.250055	1.3448011	4816.779171705246
95	5.75	3.6996622	9.0	0.0	7.75	13.423394	31.0	0.0	2.6	1.7435595	6.0	0.0	4.5	7.940403	22.0	0.0	1000.0	1000.0	379999	26.09375	11.53626	114.19827	-34.205685	-26.370638	1.3468176	4868.489140748978
96	5.0	4.8989797	13.0	1.0	31.25	29.659527	80.0	0.0	4.1	1.9723083	8.0	1.0	67.8	96.697266	332.0	0.0	884.75	1000.0	383999	25.50123	11.51223	132.00447	-39.786148	-25.78205	1.4343863	4919.943379402161
97	1.25	0.8291562	2.0	0.0	22.25	23.689396	56.0	0.0	5.4	2.6532998	11.0	1.0	47.2	39.186222	114.0	4.0	1000.0	1000.0	387999	25.13695	10.72879	123.495544	-33.847546	-25.36634	1.4136608	4972.051776409149
98	5.0	4.84768	12.0	0.0	96.5	107.606926	279.0	0.0	3.8	3.5721142	13.0	0.0	39.9	33.10423	93.0	0.0	1000.0	1000.0	391999	23.133993	10.146494	78.90211	-35.23358	-23.281637	1.2344565	5024.293876409531
99	3.25	1.7853571	5.0	1.0	11.75	13.899191	34.0	0.0	3.2	2.8913665	9.0	0.0	54.4	83.69492	266.0	0.0	1000.0	1000.0	395999	21.388058	9.503087	68.78596	-50.781418	-21.583414	1.0575358	5076.9191608428955
