Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	207999	11507.943	6455.8257	58921.63	2203.918	11507.979	6455.9204	59358.496	2082.4065	114.47492	44.101242	680.66235	13.281727	-11699.055	228271.64	5154.156700849533
53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.90000004	3.0	0.0	1000.0	1000.0	211999	12980.8	7238.4243	66643.86	2151.3215	12980.724	7238.6387	66177.484	1979.4746	120.7762	46.695694	659.2253	20.428635	-13193.044	281279.56	5253.748752355576
54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	215999	14711.39	8240.0205	74334.805	1090.3477	14711.47	8239.946	74667.74	1006.21063	127.46113	49.33584	813.46875	24.036842	-14956.621	359389.72	5353.367582559586
55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	219999	16756.705	9328.42	82466.34	4362.0225	16756.564	9328.855	83372.49	2404.9053	134.99876	52.36677	708.3613	19.203129	-17037.229	449775.97	5452.330226421356
56	0.0	0.0	0.0	0.0	62.25	107.82016	249.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	223999	18987.414	10580.608	90248.766	5597.419	18987.463	10580.643	90333.4	3747.751	142.67586	55.68726	724.843	23.84377	-19303.656	566140.7	5551.729646205902
57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	227999	21481.656	11857.802	105947.2	4203.6855	21481.555	11857.145	105897.85	3362.6294	149.41785	58.18185	699.2597	21.894735	-21829.908	718793.75	5651.167850494385
58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	231999	24046.79	12923.49	110744.44	7006.4795	24046.66	12923.889	113128.67	4652.5015	156.10645	62.3768	662.3179	26.980104	-24420.71	867272.8	5751.011991977692
59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	235999	26648.75	14247.028	123638.625	7106.1895	26648.504	14247.243	124718.85	4564.244	162.50935	64.737885	669.8084	23.488901	-27059.229	1043480.8	5850.889617919922
60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.2	279.6	932.0	0.0	1000.0	1000.0	239999	29445.225	15783.494	132491.52	7792.294	29445.037	15783.406	132275.36	4231.731	165.53471	65.16524	748.8063	29.804647	-29888.084	1217709.2	5949.783800363541
61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	243999	32414.902	17291.555	145104.61	8723.069	32414.658	17291.557	144312.03	5831.855	170.94096	71.771866	732.188	26.055977	-32891.875	1474594.9	6048.033293008804
